"";"Taxa";"matched_name2";"confidence";"canonicalName";"kingdom";"phylum";"class";"order";"family";"genus";"species";"rank"
"266";"equisetum hyemale l.";"Equisetum hyemale";99;"Equisetum hyemale";"Plantae";"Tracheophyta";"Polypodiopsida";"Equisetales";"Equisetaceae";"Equisetum";"Equisetum hyemale";"SPECIES"
"267";"eupatorium cannabinum l.";"Eupatorium cannabinum";99;"Eupatorium cannabinum";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Eupatorium";"Eupatorium cannabinum";"SPECIES"
"268";"euphorbia helioscopia l.";"Euphorbia helioscopia";97;"Euphorbia helioscopia";"Plantae";"Tracheophyta";"Magnoliopsida";"Malpighiales";"Euphorbiaceae";"Euphorbia";"Euphorbia helioscopia";"SPECIES"
"269";"heracleum sphondylium l.";"Heracleum sphondylium";97;"Heracleum sphondylium";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiales";"Apiaceae";"Heracleum";"Heracleum sphondylium";"SPECIES"
"270";"hypericum tetrapterum fr.";"Hypericum tetrapterum";99;"Hypericum tetrapterum";"Plantae";"Tracheophyta";"Magnoliopsida";"Malpighiales";"Hypericaceae";"Hypericum";"Hypericum tetrapterum";"SPECIES"
"271";"knautia arvensis (l.) coult.";"Knautia arvensis";98;"Knautia arvensis";"Plantae";"Tracheophyta";"Magnoliopsida";"Dipsacales";"Caprifoliaceae";"Knautia";"Knautia arvensis";"SPECIES"
"272";"lapsana communis l.";"Lapsana communis";99;"Lapsana communis";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Lapsana";"Lapsana communis";"SPECIES"
"273";"lathyrus sylvestris l.";"Lathyrus sylvestris";99;"Lathyrus sylvestris";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Lathyrus";"Lathyrus sylvestris";"SPECIES"
"274";"leskea polycarpa hedw.";"Leskea polycarpa";99;"Leskea polycarpa";"Plantae";"Bryophyta";"Bryopsida";"Hypnales";"Leskeaceae";"Leskea";"Leskea polycarpa";"SPECIES"
"275";"lobularia maritima (l.) desv.";"Lobularia maritima";99;"Lobularia maritima";"Plantae";"Tracheophyta";"Magnoliopsida";"Brassicales";"Brassicaceae";"Lobularia";"Lobularia maritima";"SPECIES"
"276";"lysimachia arvensis (l.) u.manns & anderb.";"Lysimachia arvensis";99;"Lysimachia arvensis";"Plantae";"Tracheophyta";"Magnoliopsida";"Ericales";"Primulaceae";"Lysimachia";"Lysimachia arvensis";"SPECIES"
"277";"medicago sativa l.";"Medicago sativa";97;"Medicago sativa";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Medicago";"Medicago sativa";"SPECIES"
"278";"melilotus albus medik.";"Melilotus albus";97;"Melilotus albus";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Melilotus";"Melilotus albus";"SPECIES"
"279";"mercurialis perennis l.";"Mercurialis perennis";99;"Mercurialis perennis";"Plantae";"Tracheophyta";"Magnoliopsida";"Malpighiales";"Euphorbiaceae";"Mercurialis";"Mercurialis perennis";"SPECIES"
"280";"ononis spinosa subsp. procurrens (wallr.) briq.";"Ononis spinosa procurrens";97;"Ononis spinosa procurrens";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Ononis";"Ononis spinosa";"SUBSPECIES"
"281";"phacelia tanacetifolia benth.";"Phacelia tanacetifolia";97;"Phacelia tanacetifolia";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginales";"Hydrophyllaceae";"Phacelia";"Phacelia tanacetifolia";"SPECIES"
"282";"plagiomnium undulatum (hedw.) t.j.kop.";"Plagiomnium undulatum";99;"Plagiomnium undulatum";"Plantae";"Bryophyta";"Bryopsida";"Bryales";"Mniaceae";"Plagiomnium";"Plagiomnium undulatum";"SPECIES"
"283";"polygonum aviculare l.";"Polygonum aviculare";97;"Polygonum aviculare";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Polygonaceae";"Polygonum";"Polygonum aviculare";"SPECIES"
"284";"potentilla sterilis (l.) garcke";"Potentilla sterilis";98;"Potentilla sterilis";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Potentilla";"Potentilla sterilis";"SPECIES"
"285";"prunus laurocerasus l.";"Prunus laurocerasus";99;"Prunus laurocerasus";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Prunus";"Prunus laurocerasus";"SPECIES"
"286";"quercus petraea (matt.) liebl.";"Quercus petraea";99;"Quercus petraea";"Plantae";"Tracheophyta";"Magnoliopsida";"Fagales";"Fagaceae";"Quercus";"Quercus petraea";"SPECIES"
"287";"rabelera holostea (l.) m.t.sharples & e.a.tripp";"Rabelera holostea";99;"Rabelera holostea";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Rabelera";"Rabelera holostea";"SPECIES"
"288";"ranunculus bulbosus l.";"Ranunculus bulbosus";97;"Ranunculus bulbosus";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Ranunculus";"Ranunculus bulbosus";"SPECIES"
"289";"reynoutria japonica houtt.";"Reynoutria japonica";99;"Reynoutria japonica";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Polygonaceae";"Reynoutria";"Reynoutria japonica";"SPECIES"
"290";"rorippa palustris (l.) besser";"Rorippa palustris";97;"Rorippa palustris";"Plantae";"Tracheophyta";"Magnoliopsida";"Brassicales";"Brassicaceae";"Rorippa";"Rorippa palustris";"SPECIES"
"291";"rosa dumalis subsp. dumalis";"Rosa dumalis dumalis";97;"Rosa dumalis dumalis";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Rosa";"Rosa dumalis";"SUBSPECIES"
"292";"rumex thyrsiflorus fingerh.";"Rumex thyrsiflorus";99;"Rumex thyrsiflorus";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Polygonaceae";"Rumex";"Rumex thyrsiflorus";"SPECIES"
"293";"sanicula europaea l.";"Sanicula europaea";97;"Sanicula europaea";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiales";"Apiaceae";"Sanicula";"Sanicula europaea";"SPECIES"
"294";"saponaria officinalis l.";"Saponaria officinalis";99;"Saponaria officinalis";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Saponaria";"Saponaria officinalis";"SPECIES"
"295";"senecio vulgaris l.";"Senecio vulgaris";99;"Senecio vulgaris";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Senecio";"Senecio vulgaris";"SPECIES"
"296";"sparganium emersum rehmann";"Sparganium emersum";99;"Sparganium emersum";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Typhaceae";"Sparganium";"Sparganium emersum";"SPECIES"
"297";"succisa pratensis moench";"Succisa pratensis";99;"Succisa pratensis";"Plantae";"Tracheophyta";"Magnoliopsida";"Dipsacales";"Caprifoliaceae";"Succisa";"Succisa pratensis";"SPECIES"
"298";"thamnobryum alopecurum (hedw.) gangulee";"Thamnobryum alopecurum";97;"Thamnobryum alopecurum";"Plantae";"Bryophyta";"Bryopsida";"Hypnales";"Neckeraceae";"Thamnobryum";"Thamnobryum alopecurum";"SPECIES"
"299";"tragopogon pratensis subsp. pratensis";"Tragopogon pratensis pratensis";97;"Tragopogon pratensis pratensis";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Tragopogon";"Tragopogon pratensis";"SUBSPECIES"
"300";"trifolium incarnatum l.";"Trifolium incarnatum";97;"Trifolium incarnatum";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Trifolium";"Trifolium incarnatum";"SPECIES"
"301";"trifolium medium l.";"Trifolium medium";98;"Trifolium medium";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Trifolium";"Trifolium medium";"SPECIES"
"302";"valeriana sambucifolia subsp. procurrens (wallr.) á.löwe";"Valeriana sambucifolia procurrens";97;"Valeriana sambucifolia procurrens";"Plantae";"Tracheophyta";"Magnoliopsida";"Dipsacales";"Caprifoliaceae";"Valeriana";"Valeriana excelsa";"SUBSPECIES"
"303";"veronica persica poir.";"Veronica persica";99;"Veronica persica";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Plantaginaceae";"Veronica";"Veronica persica";"SPECIES"
"304";"vicia lathyroides l.";"Vicia lathyroides";98;"Vicia lathyroides";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Vicia";"Vicia lathyroides";"SPECIES"
"305";"vicia sativa subsp. sativa";"Vicia sativa sativa";97;"Vicia sativa sativa";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Vicia";"Vicia sativa";"SUBSPECIES"
"306";"viola arvensis murray";"Viola arvensis";99;"Viola arvensis";"Plantae";"Tracheophyta";"Magnoliopsida";"Malpighiales";"Violaceae";"Viola";"Viola arvensis";"SPECIES"
"307";"abies nordmanniana (steven) spach";"Abies nordmanniana";99;"Abies nordmanniana";"Plantae";"Tracheophyta";"Pinopsida";"Pinales";"Pinaceae";"Abies";"Abies nordmanniana";"SPECIES"
"308";"alchemilla glabra neygenf.";"Alchemilla glabra";97;"Alchemilla glabra";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Alchemilla";"Alchemilla glabra";"SPECIES"
"309";"allium oleraceum l.";"Allium oleraceum";97;"Allium oleraceum";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Amaryllidaceae";"Allium";"Allium oleraceum";"SPECIES"
"310";"allium scorodoprasum l.";"Allium scorodoprasum";99;"Allium scorodoprasum";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Amaryllidaceae";"Allium";"Allium scorodoprasum";"SPECIES"
"311";"anchusa officinalis l.";"Anchusa officinalis";97;"Anchusa officinalis";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginales";"Boraginaceae";"Anchusa";"Anchusa officinalis";"SPECIES"
"312";"anomodon viticulosus (hedw.) hook. & taylor";"Anomodon viticulosus";99;"Anomodon viticulosus";"Plantae";"Bryophyta";"Bryopsida";"Hypnales";"Anomodontaceae";"Anomodon";"Anomodon viticulosus";"SPECIES"
"313";"anthyllis vulneraria l.";"Anthyllis vulneraria";97;"Anthyllis vulneraria";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Anthyllis";"Anthyllis vulneraria";"SPECIES"
"314";"aquilegia vulgaris l.";"Aquilegia vulgaris";97;"Aquilegia vulgaris";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Aquilegia";"Aquilegia vulgaris";"SPECIES"
"315";"arctium lappa l.";"Arctium lappa";97;"Arctium lappa";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Arctium";"Arctium lappa";"SPECIES"
"316";"arenaria serpyllifolia l.";"Arenaria serpyllifolia";97;"Arenaria serpyllifolia";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Arenaria";"Arenaria serpyllifolia";"SPECIES"
"317";"aronia melanocarpa (michx.) elliott";"Aronia melanocarpa";97;"Aronia melanocarpa";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Aronia";"Aronia melanocarpa";"SPECIES"
"318";"artemisia vulgaris l.";"Artemisia vulgaris";97;"Artemisia vulgaris";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Artemisia";"Artemisia vulgaris";"SPECIES"
"319";"atriplex patula l.";"Atriplex patula";98;"Atriplex patula";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Amaranthaceae";"Atriplex";"Atriplex patula";"SPECIES"
"320";"aulacomnium palustre (hedw.) schwägr.";"Aulacomnium palustre";99;"Aulacomnium palustre";"Plantae";"Bryophyta";"Bryopsida";"Aulacomniales";"Aulacomniaceae";"Aulacomnium";"Aulacomnium palustre";"SPECIES"
"321";"betula pendula roth";"Betula pendula";99;"Betula pendula";"Plantae";"Tracheophyta";"Magnoliopsida";"Fagales";"Betulaceae";"Betula";"Betula pendula";"SPECIES"
"322";"brachythecium rutabulum (hedw.) schimp.";"Brachythecium rutabulum";97;"Brachythecium rutabulum";"Plantae";"Bryophyta";"Bryopsida";"Hypnales";"Brachytheciaceae";"Brachythecium";"Brachythecium rutabulum";"SPECIES"
"323";"brassica napus subsp. napus";"Brassica napus napus";97;"Brassica napus napus";"Plantae";"Tracheophyta";"Magnoliopsida";"Brassicales";"Brassicaceae";"Brassica";"Brassica napus";"FORM"
"324";"brunnera macrophylla (adams) i.m.johnst.";"Brunnera macrophylla";99;"Brunnera macrophylla";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginales";"Boraginaceae";"Brunnera";"Brunnera macrophylla";"SPECIES"
"325";"campanula rotundifolia l.";"Campanula rotundifolia";97;"Campanula rotundifolia";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Campanulaceae";"Campanula";"Campanula rotundifolia";"SPECIES"
"326";"carex cespitosa l.";"Carex cespitosa";97;"Carex cespitosa";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex cespitosa";"SPECIES"
"327";"carex demissa hornem.";"Carex demissa";97;"Carex demissa";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex demissa";"SPECIES"
"328";"carex diandra schrank";"Carex diandra";97;"Carex diandra";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex diandra";"SPECIES"
"329";"carex echinata murray";"Carex echinata";97;"Carex echinata";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex echinata";"SPECIES"
"330";"carex nigra var. recta (f.fleisch) hyl.";"Carex nigra recta";97;"Carex nigra recta";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex nigra";"SUBSPECIES"
"331";"centaurea cyanus l.";"Centaurea cyanus";99;"Centaurea cyanus";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Centaurea";"Centaurea cyanus";"SPECIES"
"332";"cerastium fontanum baumg.";"Cerastium fontanum";99;"Cerastium fontanum";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Cerastium";"Cerastium fontanum";"SPECIES"
"333";"ceratophyllum submersum l.";"Ceratophyllum submersum";99;"Ceratophyllum submersum";"Plantae";"Tracheophyta";"Magnoliopsida";"Ceratophyllales";"Ceratophyllaceae";"Ceratophyllum";"Ceratophyllum submersum";"SPECIES"
"334";"chaerophyllum temulum l.";"Chaerophyllum temulum";99;"Chaerophyllum temulum";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiales";"Apiaceae";"Chaerophyllum";"Chaerophyllum temulum";"SPECIES"
"335";"chelidonium majus l.";"Chelidonium majus";98;"Chelidonium majus";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Papaveraceae";"Chelidonium";"Chelidonium majus";"SPECIES"
"336";"chenopodium album l.";"Chenopodium album";97;"Chenopodium album";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Amaranthaceae";"Chenopodium";"Chenopodium album";"SPECIES"
"337";"chrysosplenium alternifolium l.";"Chrysosplenium alternifolium";99;"Chrysosplenium alternifolium";"Plantae";"Tracheophyta";"Magnoliopsida";"Saxifragales";"Saxifragaceae";"Chrysosplenium";"Chrysosplenium alternifolium";"SPECIES"
"338";"cicuta virosa l.";"Cicuta virosa";99;"Cicuta virosa";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiales";"Apiaceae";"Cicuta";"Cicuta virosa";"SPECIES"
"339";"climacium dendroides (hedw.) f.weber & d.mohr";"Climacium dendroides";99;"Climacium dendroides";"Plantae";"Bryophyta";"Bryopsida";"Hypnales";"Climaciaceae";"Climacium";"Climacium dendroides";"SPECIES"
"340";"convallaria majalis l.";"Convallaria majalis";99;"Convallaria majalis";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Asparagaceae";"Convallaria";"Convallaria majalis";"SPECIES"
"341";"cornus sericea l.";"Cornus sericea";99;"Cornus sericea";"Plantae";"Tracheophyta";"Magnoliopsida";"Cornales";"Cornaceae";"Cornus";"Cornus sericea";"SPECIES"
"342";"cynoglossum amabile stapf & j.r.drumm.";"Cynoglossum amabile";99;"Cynoglossum amabile";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginales";"Boraginaceae";"Cynoglossum";"Cynoglossum amabile";"SPECIES"
"343";"dactylorhiza majalis subsp. majalis";"Dactylorhiza majalis majalis";97;"Dactylorhiza majalis majalis";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Orchidaceae";"Dactylorhiza";"Dactylorhiza majalis";"SUBSPECIES"
"344";"datura stramonium l.";"Datura stramonium";98;"Datura stramonium";"Plantae";"Tracheophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Datura";"Datura stramonium";"SPECIES"
"345";"daucus carota l.";"Daucus carota";97;"Daucus carota";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiales";"Apiaceae";"Daucus";"Daucus carota";"SPECIES"
"346";"draba verna l.";"Draba verna";99;"Draba verna";"Plantae";"Tracheophyta";"Magnoliopsida";"Brassicales";"Brassicaceae";"Draba";"Draba verna";"SPECIES"
"347";"epilobium adenocaulon hausskn.";"Epilobium adenocaulon";98;"Epilobium adenocaulon";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Epilobium";"Epilobium ciliatum";"SPECIES"
"348";"equisetum sylvaticum l.";"Equisetum sylvaticum";99;"Equisetum sylvaticum";"Plantae";"Tracheophyta";"Polypodiopsida";"Equisetales";"Equisetaceae";"Equisetum";"Equisetum sylvaticum";"SPECIES"
"349";"eranthis hyemalis (l.) salisb.";"Eranthis hyemalis";99;"Eranthis hyemalis";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Eranthis";"Eranthis hyemalis";"SPECIES"
"350";"eryngium campestre l.";"Eryngium campestre";99;"Eryngium campestre";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiales";"Apiaceae";"Eryngium";"Eryngium campestre";"SPECIES"
"351";"euphorbia peplus l.";"Euphorbia peplus";99;"Euphorbia peplus";"Plantae";"Tracheophyta";"Magnoliopsida";"Malpighiales";"Euphorbiaceae";"Euphorbia";"Euphorbia peplus";"SPECIES"
"352";"fontinalis antipyretica hedw.";"Fontinalis antipyretica";97;"Fontinalis antipyretica";"Plantae";"Bryophyta";"Bryopsida";"Hypnales";"Fontinalaceae";"Fontinalis";"Fontinalis antipyretica";"SPECIES"
"353";"fragaria vesca l.";"Fragaria vesca";98;"Fragaria vesca";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Fragaria";"Fragaria vesca";"SPECIES"
"354";"fumaria officinalis l.";"Fumaria officinalis";97;"Fumaria officinalis";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Papaveraceae";"Fumaria";"Fumaria officinalis";"SPECIES"
"355";"gagea lutea (l.) ker gawl.";"Gagea lutea";97;"Gagea lutea";"Plantae";"Tracheophyta";"Liliopsida";"Liliales";"Liliaceae";"Gagea";"Gagea lutea";"SPECIES"
"356";"galinsoga quadriradiata ruiz & pav.";"Galinsoga quadriradiata";98;"Galinsoga quadriradiata";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Galinsoga";"Galinsoga quadriradiata";"SPECIES"
"357";"geranium ×oxonianum p.f.yeo";"Geranium oxonianum";99;"Geranium oxonianum";"Plantae";"Tracheophyta";"Magnoliopsida";"Geraniales";"Geraniaceae";"Geranium";"Geranium oxonianum";"SPECIES"
"358";"holcus mollis l.";"Holcus mollis";99;"Holcus mollis";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Holcus";"Holcus mollis";"SPECIES"
"359";"iberis umbellata l.";"Iberis umbellata";98;"Iberis umbellata";"Plantae";"Tracheophyta";"Magnoliopsida";"Brassicales";"Brassicaceae";"Iberis";"Iberis umbellata";"SPECIES"
"360";"ilex aquifolium l.";"Ilex aquifolium";97;"Ilex aquifolium";"Plantae";"Tracheophyta";"Magnoliopsida";"Aquifoliales";"Aquifoliaceae";"Ilex";"Ilex aquifolium";"SPECIES"
"361";"impatiens parviflora dc.";"Impatiens parviflora";99;"Impatiens parviflora";"Plantae";"Tracheophyta";"Magnoliopsida";"Ericales";"Balsaminaceae";"Impatiens";"Impatiens parviflora";"SPECIES"
"362";"lamiastrum galeobdolon subsp. galeobdolon";"Lamiastrum galeobdolon galeobdolon";98;"Lamiastrum galeobdolon galeobdolon";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Lamiaceae";"Lamium";"Lamium galeobdolon";"VARIETY"
"363";"lamium album l.";"Lamium album";97;"Lamium album";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Lamiaceae";"Lamium";"Lamium album";"SPECIES"
"364";"lamium purpureum l.";"Lamium purpureum";99;"Lamium purpureum";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Lamiaceae";"Lamium";"Lamium purpureum";"SPECIES"
"365";"lemna gibba l.";"Lemna gibba";97;"Lemna gibba";"Plantae";"Tracheophyta";"Liliopsida";"Alismatales";"Araceae";"Lemna";"Lemna gibba";"SPECIES"
"366";"ligustrum vulgare l.";"Ligustrum vulgare";98;"Ligustrum vulgare";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Oleaceae";"Ligustrum";"Ligustrum vulgare";"SPECIES"
"367";"lotus pedunculatus cav.";"Lotus pedunculatus";99;"Lotus pedunculatus";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Lotus";"Lotus pedunculatus";"SPECIES"
"368";"lunaria annua l.";"Lunaria annua";98;"Lunaria annua";"Plantae";"Tracheophyta";"Magnoliopsida";"Brassicales";"Brassicaceae";"Lunaria";"Lunaria annua";"SPECIES"
"369";"luzula multiflora (ehrh.) lej.";"Luzula multiflora";99;"Luzula multiflora";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Juncaceae";"Luzula";"Luzula multiflora";"SPECIES"
"370";"luzula pilosa (l.) willd.";"Luzula pilosa";98;"Luzula pilosa";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Juncaceae";"Luzula";"Luzula pilosa";"SPECIES"
"371";"lysimachia nemorum l.";"Lysimachia nemorum";97;"Lysimachia nemorum";"Plantae";"Tracheophyta";"Magnoliopsida";"Ericales";"Primulaceae";"Lysimachia";"Lysimachia nemorum";"SPECIES"
"372";"lysimachia thyrsiflora l.";"Lysimachia thyrsiflora";98;"Lysimachia thyrsiflora";"Plantae";"Tracheophyta";"Magnoliopsida";"Ericales";"Primulaceae";"Lysimachia";"Lysimachia thyrsiflora";"SPECIES"
"373";"malus baccata (l.) borkh.";"Malus baccata";98;"Malus baccata";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Malus";"Malus baccata";"SPECIES"
"374";"malva moschata l.";"Malva moschata";98;"Malva moschata";"Plantae";"Tracheophyta";"Magnoliopsida";"Malvales";"Malvaceae";"Malva";"Malva moschata";"SPECIES"
"375";"malva sylvestris l.";"Malva sylvestris";99;"Malva sylvestris";"Plantae";"Tracheophyta";"Magnoliopsida";"Malvales";"Malvaceae";"Malva";"Malva sylvestris";"SPECIES"
"376";"matricaria discoidea dc.";"Matricaria discoidea";99;"Matricaria discoidea";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Matricaria";"Matricaria discoidea";"SPECIES"
"377";"melissa officinalis l.";"Melissa officinalis";99;"Melissa officinalis";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Lamiaceae";"Melissa";"Melissa officinalis";"SPECIES"
"378";"myosotis arvensis (l.) hill";"Myosotis arvensis";97;"Myosotis arvensis";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginales";"Boraginaceae";"Myosotis";"Myosotis arvensis";"SPECIES"
"379";"myosotis discolor pers.";"Myosotis discolor";99;"Myosotis discolor";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginales";"Boraginaceae";"Myosotis";"Myosotis discolor";"SPECIES"
"380";"myosotis sylvatica ehrh. ex hoffm.";"Myosotis sylvatica";97;"Myosotis sylvatica";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginales";"Boraginaceae";"Myosotis";"Myosotis sylvatica";"SPECIES"
"381";"neottia ovata (l.) bluff & fingerh.";"Neottia ovata";97;"Neottia ovata";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Orchidaceae";"Neottia";"Neottia ovata";"SPECIES"
"382";"nigella damascena l.";"Nigella damascena";99;"Nigella damascena";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Nigella";"Nigella damascena";"SPECIES"
"383";"nymphaea alba l.";"Nymphaea alba";97;"Nymphaea alba";"Plantae";"Tracheophyta";"Magnoliopsida";"Nymphaeales";"Nymphaeaceae";"Nymphaea";"Nymphaea alba";"SPECIES"
"384";"onobrychis viciifolia scop.";"Onobrychis viciifolia";97;"Onobrychis viciifolia";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Onobrychis";"Onobrychis viciifolia";"SPECIES"
"385";"orthotrichum affine brid.";"Orthotrichum affine";97;"Orthotrichum affine";"Plantae";"Bryophyta";"Bryopsida";"Orthotrichales";"Orthotrichaceae";"Lewinskya";"Lewinskya affinis";"SPECIES"
"386";"papaver argemone l.";"Papaver argemone";98;"Papaver argemone";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Papaveraceae";"Roemeria";"Roemeria argemone";"SPECIES"
"387";"papaver somniferum l.";"Papaver somniferum";99;"Papaver somniferum";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Papaveraceae";"Papaver";"Papaver somniferum";"SPECIES"
"388";"persicaria hydropiper (l.) delarbre";"Persicaria hydropiper";97;"Persicaria hydropiper";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Polygonaceae";"Persicaria";"Persicaria hydropiper";"SPECIES"
"389";"persicaria maculosa gray";"Persicaria maculosa";99;"Persicaria maculosa";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Polygonaceae";"Persicaria";"Persicaria maculosa";"SPECIES"
"390";"phytolacca acinosa roxb.";"Phytolacca acinosa";99;"Phytolacca acinosa";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Phytolaccaceae";"Phytolacca";"Phytolacca acinosa";"SPECIES"
"391";"picea abies (l.) h.karst.";"Picea abies";97;"Picea abies";"Plantae";"Tracheophyta";"Pinopsida";"Pinales";"Pinaceae";"Picea";"Picea abies";"SPECIES"
"392";"picea sitchensis (bong.) carrière";"Picea sitchensis";97;"Picea sitchensis";"Plantae";"Tracheophyta";"Pinopsida";"Pinales";"Pinaceae";"Picea";"Picea sitchensis";"SPECIES"
"393";"plagiomnium elatum (bruch & schimp.) t.j.kop.";"Plagiomnium elatum";99;"Plagiomnium elatum";"Plantae";"Bryophyta";"Bryopsida";"Bryales";"Mniaceae";"Plagiomnium";"Plagiomnium elatum";"SPECIES"
"394";"poa nemoralis l.";"Poa nemoralis";97;"Poa nemoralis";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Poa";"Poa nemoralis";"SPECIES"
